<1>
X: 0 | d(X): 1
X: 1 | d(X): 1

<2,3>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 1
X: 3 | d(X): 1

<2,5>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 1
X: 3 | d(X): 0
X: 4 | d(X): 2
X: 5 | d(X): 1
X: 6 | d(X): 2

<3, 4, 5>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 0
X: 3 | d(X): 1
X: 4 | d(X): 1
X: 5 | d(X): 1
X: 6 | d(X): 2

<2, 7>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 1
X: 3 | d(X): 0
X: 4 | d(X): 2
X: 5 | d(X): 0
X: 6 | d(X): 2
X: 7 | d(X): 1
X: 8 | d(X): 3
X: 9 | d(X): 3

<3, 4>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 0
X: 3 | d(X): 1
X: 4 | d(X): 1
X: 5 | d(X): 0
X: 6 | d(X): 2
X: 7 | d(X): 2
X: 8 | d(X): 3
X: 9 | d(X): 3

<3, 5, 7>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 0
X: 3 | d(X): 1
X: 4 | d(X): 0
X: 5 | d(X): 1
X: 6 | d(X): 2
X: 7 | d(X): 1
X: 8 | d(X): 2
X: 9 | d(X): 2

<4, 5, 6, 7>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 0
X: 3 | d(X): 0
X: 4 | d(X): 1
X: 5 | d(X): 1
X: 6 | d(X): 1
X: 7 | d(X): 1
X: 8 | d(X): 2
X: 9 | d(X): 2

<2, 9>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 1
X: 3 | d(X): 0
X: 4 | d(X): 2
X: 5 | d(X): 0
X: 6 | d(X): 2
X: 7 | d(X): 0
X: 8 | d(X): 3
X: 9 | d(X): 1
X: 10 | d(X): 3
X: 11 | d(X): 3
X: 12 | d(X): 4

<3,5>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 0
X: 3 | d(X): 1
X: 4 | d(X): 0
X: 5 | d(X): 1
X: 6 | d(X): 2
X: 7 | d(X): 0
X: 8 | d(X): 2
X: 9 | d(X): 2
X: 10 | d(X): 3
X: 11 | d(X): 3
X: 12 | d(X): 4

<3, 7, 8>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 0
X: 3 | d(X): 1
X: 4 | d(X): 0
X: 5 | d(X): 0
X: 6 | d(X): 2
X: 7 | d(X): 1
X: 8 | d(X): 1
X: 9 | d(X): 2
X: 10 | d(X): 2
X: 11 | d(X): 2
X: 12 | d(X): 3

<4, 5, 6>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 0
X: 3 | d(X): 0
X: 4 | d(X): 1
X: 5 | d(X): 1
X: 6 | d(X): 1
X: 7 | d(X): 0
X: 8 | d(X): 2
X: 9 | d(X): 2
X: 10 | d(X): 3
X: 11 | d(X): 3
X: 12 | d(X): 4

<4, 5, 7>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 0
X: 3 | d(X): 0
X: 4 | d(X): 1
X: 5 | d(X): 1
X: 6 | d(X): 0
X: 7 | d(X): 1
X: 8 | d(X): 2
X: 9 | d(X): 2
X: 10 | d(X): 3
X: 11 | d(X): 3
X: 12 | d(X): 3

<4, 6, 7, 9>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 0
X: 3 | d(X): 0
X: 4 | d(X): 1
X: 5 | d(X): 0
X: 6 | d(X): 1
X: 7 | d(X): 1
X: 8 | d(X): 2
X: 9 | d(X): 1
X: 10 | d(X): 2
X: 11 | d(X): 2
X: 12 | d(X): 3

<5, 6, 7, 8, 9>
X: 0 | d(X): 1
X: 1 | d(X): 0
X: 2 | d(X): 0
X: 3 | d(X): 0
X: 4 | d(X): 0
X: 5 | d(X): 1
X: 6 | d(X): 1
X: 7 | d(X): 1
X: 8 | d(X): 1
X: 9 | d(X): 1
X: 10 | d(X): 2
X: 11 | d(X): 2
X: 12 | d(X): 3
